time,sen1,sen2,sen3,sen4,sen5,sen6,sen7,sen8,sen9
246785,91,757,146,143,480,360,438,8,12
248384,91,757,146,144,480,360,438,8,12
249983,92,757,146,144,480,360,438,8,12
251584,91,757,146,144,480,360,438,8,11
253185,91,757,146,144,480,360,438,8,11
254785,91,757,146,144,480,360,438,8,11
256384,91,757,146,144,480,360,438,8,11
257984,91,757,146,143,480,360,438,8,12
259584,91,757,146,143,480,360,438,8,12
261183,91,757,146,143,480,360,438,8,11
262785,91,757,146,143,480,360,438,8,11
264386,91,757,147,144,480,360,438,8,11
265983,91,757,146,144,480,360,438,8,11
267584,91,757,146,144,480,360,438,8,11
269183,91,757,146,144,480,360,438,8,11
270785,91,757,146,144,480,360,438,8,12
272384,91,757,146,144,480,361,438,8,12
273985,91,757,146,143,480,360,438,8,12
275584,91,757,146,143,480,360,438,8,12
277183,91,757,146,143,480,360,438,8,12
278785,91,757,146,143,480,360,438,8,12
280422,91,757,146,144,480,360,438,8,12
281984,92,757,146,144,480,360,438,8,12
283586,92,757,146,144,480,360,438,8,12
285184,92,757,146,144,480,360,438,8,11
286785,92,757,146,144,480,360,438,8,11
288384,91,757,146,144,480,360,438,8,11
289984,91,756,146,144,480,360,438,8,11
291584,91,756,146,143,480,360,438,8,12
293186,91,756,146,143,480,360,438,8,12
294785,91,756,146,143,480,360,438,8,12
296384,91,757,147,144,480,360,438,8,12
297984,92,757,147,144,480,360,438,8,12
299583,91,757,146,144,480,360,438,8,12
301184,91,757,146,144,480,360,438,8,12
302784,91,757,146,144,480,360,438,8,12
304386,91,757,146,144,480,361,438,8,12
305984,91,757,146,144,480,360,438,8,12
307584,91,757,146,144,480,360,438,8,12
309184,91,757,146,143,480,360,438,8,11
310784,91,757,146,143,480,360,438,8,11
312384,91,757,146,144,480,360,438,8,11
313985,91,757,147,144,480,360,438,8,11
315584,91,757,146,144,480,360,438,8,11
317184,91,757,146,144,480,361,438,8,11
318784,91,757,146,144,480,360,439,8,11
320383,91,757,146,144,480,360,438,8,11
321984,91,757,146,144,480,360,438,8,11
323585,91,757,146,143,480,360,438,8,12
325184,91,757,146,143,480,360,438,8,11
326785,91,757,146,143,480,360,438,8,11
328384,91,757,146,143,480,360,439,8,11
329984,92,757,147,144,480,361,439,8,11
331584,92,757,146,144,480,360,438,8,11
333186,91,757,146,145,480,360,438,8,11
334785,91,757,146,145,480,360,438,8,11
336383,91,757,146,145,480,360,438,8,11
337984,91,757,147,144,480,360,438,8,11
