time,sen1,sen2,sen3,sen4,sen5,sen6,sen7,sen8,sen9
1197184,92,757,146,144,480,361,438,7,13
1205184,91,757,146,144,480,360,438,7,12
1213188,92,757,146,143,480,360,438,7,13
1221184,92,757,146,144,480,360,438,7,12
1229183,92,757,146,143,480,360,439,7,12
1237183,92,757,146,144,480,360,438,7,12
1245184,92,757,146,143,480,360,438,7,12
1253186,91,757,146,144,480,360,438,7,12
1261184,92,757,146,143,480,360,438,7,11
1269183,92,757,146,145,480,360,438,7,12
1277183,92,757,146,143,480,360,438,7,12
1285183,92,757,146,144,480,360,438,8,12
1293186,92,757,146,143,480,360,438,7,12
1301184,92,757,146,144,480,360,438,8,11
1309184,92,757,146,143,480,360,438,8,12
1317184,92,757,146,144,480,360,438,8,12
1325184,92,757,147,143,480,360,438,8,12
1333186,92,757,146,144,480,360,438,8,12
1341184,92,757,146,143,480,360,438,8,12
1349184,92,757,146,144,480,360,438,8,12
1357184,92,757,146,144,480,360,438,8,12
1365184,92,757,146,144,480,360,438,8,11
1373186,92,757,146,144,480,360,438,9,12
1381184,92,757,146,144,480,360,438,9,12
1389184,92,757,146,144,480,360,438,9,12
1397184,92,757,147,144,480,360,438,9,12
1405184,92,757,146,144,480,360,438,8,12
1413186,92,757,146,143,480,360,438,9,12
1421184,91,757,146,144,480,360,438,9,12
1429183,92,757,146,143,480,360,438,9,12
1437184,92,757,146,144,480,360,438,9,12
1445183,92,757,146,143,480,360,438,9,12
1453186,92,757,146,144,480,360,438,9,12
1461184,91,757,146,143,480,360,438,9,12
1469184,92,757,147,145,480,360,438,9,12
1477184,92,757,146,143,480,360,438,9,11
1485184,92,757,147,145,480,360,438,9,12
1493186,92,756,146,143,480,360,438,9,12
1501184,92,757,146,145,480,360,437,9,12
1509184,92,756,146,143,480,361,438,9,12
1517184,92,757,147,144,480,360,438,9,12
1525184,91,757,146,143,480,360,438,9,12
1533186,91,757,146,144,480,360,438,9,11
1541184,91,757,146,143,480,360,438,9,11
1549183,91,757,146,144,480,360,438,9,12
1557184,91,757,146,143,480,360,438,8,11
1565183,91,757,146,143,480,360,438,8,12
1573186,91,757,146,144,480,360,438,8,12
1581184,91,757,146,144,480,360,438,8,12
1589199,91,757,146,144,480,360,438,8,12
1597184,91,757,146,144,480,360,437,8,12
1605184,91,756,145,144,480,359,437,8,11
1613186,92,757,148,144,480,361,439,8,12
1621184,91,757,146,144,480,359,438,8,11
1629183,92,757,146,143,480,360,438,8,11
1637184,92,757,146,144,480,360,438,8,12
1645184,92,757,146,143,480,360,438,8,11
1653186,91,757,146,144,480,360,438,8,12
1661184,92,757,146,143,480,360,439,8,12
1669205,91,756,146,144,480,360,438,8,12
1677204,92,757,147,143,480,360,438,8,12
1685204,91,756,146,145,480,360,439,8,11
1693209,91,756,146,143,480,360,439,8,11
1701206,91,757,146,144,480,360,438,8,11
1709205,91,757,146,143,480,360,438,8,11
1717188,92,757,146,144,480,360,438,8,11
1725188,92,757,146,143,480,360,438,8,11
1733191,92,757,147,144,480,360,438,8,11
1741187,91,757,146,144,480,360,438,8,11
1749188,91,757,146,144,480,360,438,8,11
1757188,92,757,146,144,480,360,438,8,11
1765188,91,757,146,144,480,360,438,8,11
1773191,92,757,146,144,480,360,438,8,11
1781189,91,757,146,144,480,360,438,8,11
1789188,92,757,146,144,480,360,438,8,11
1797188,91,757,146,144,480,360,438,8,11
1805188,91,757,146,144,480,360,438,8,11
1813190,91,757,146,144,480,360,438,8,11
1821188,91,757,146,144,480,360,438,8,11
1829189,92,757,146,143,480,360,437,8,11
1837189,91,757,146,144,480,360,437,8,11
1845189,91,757,146,143,480,360,438,8,11
1853192,91,757,146,144,480,360,437,8,11
1861189,92,757,146,143,480,360,437,8,12
1869189,92,757,147,144,480,360,437,8,12
1877184,92,757,147,143,480,360,437,8,11
1885184,92,757,146,144,480,360,437,8,11
1893186,91,757,146,143,480,360,437,8,11
1901184,91,757,146,144,480,360,437,8,11
1909184,91,757,146,143,480,360,437,8,11
1917184,92,757,146,144,480,360,437,8,11
1925184,91,757,146,143,480,360,437,8,11
1933186,92,757,146,144,480,360,437,8,11
